Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year,Log_Price
Toyota,Used,Diesel,1.0,Prado,2100000,Karachi,Cash,1997.0,14.557447902693651
Suzuki,Used,Petrol,100000.0,Bolan,380000,Karachi,Cash,2006.0,12.84792653170257
Suzuki,Used,CNG,12345.0,Bolan,340000,Karachi,Cash,1998.0,12.736700896592344
Suzuki,Used,Petrol,94000.0,Alto,535000,Karachi,Cash,2010.0,13.190022025878143
Toyota,Used,Petrol,100000.0,Corolla XLI,1430000,Karachi,Cash,2013.0,14.17318500223609
Toyota,Used,Petrol,80000.0,Corrolla Altis,1620000,Karachi,Cash,2012.0,14.297936707208567
Suzuki,New,CNG,65000.0,Cultus VXL,450000,Karachi,Cash,2006.0,13.017002861746503
Toyota,New,Petrol,10241.0,Corrolla Altis,2900000,Karachi,Cash,2017.0,14.880221294956703
Suzuki,Used,CNG,83000.0,Alto,490000,Karachi,Cash,2009.0,13.102160670086809
Honda,Used,Petrol,1.0,Civic VTi,480000,Karachi,Cash,1997.0,13.081541382884074
Suzuki,Used,CNG,123.0,Khyber,230000,Karachi,Cash,1994.0,12.345834587905333
Suzuki,Used,CNG,73000.0,Liana,535000,Karachi,Cash,2006.0,13.190022025878143
Toyota,Used,Petrol,78000.0,Passo,770000,Karachi,Cash,2006.0,13.554145793829866
Honda,Used,Petrol,1.0,Civic Prosmetic,490000,Karachi,Cash,1997.0,13.102160670086809
Honda,Used,CNG,170000.0,Civic EXi,160000,Karachi,Cash,1984.0,11.982929094215963
Suzuki,Used,Petrol,200000.0,Alto,425000,Karachi,Cash,2005.0,12.959844447906553
Daihatsu,Used,Petrol,100000.0,Charade,180000,Karachi,Cash,1988.0,12.100712129872347
Mitsubishi,Used,Petrol,82000.0,Pajero Mini,520000,Karachi,Cash,1995.0,13.16158409055761
Suzuki,Used,CNG,10000.0,Margalla,400000,Karachi,Cash,1990.0,12.89921982609012
Honda,Used,Petrol,69500.0,City IVTEC,1400000,Karachi,Cash,2014.0,14.151982794585487
Suzuki,Used,CNG,10000.0,Khyber,175000,Karachi,Cash,1989.0,12.072541252905651
KIA,Used,CNG,123456.0,Classic,120000,Karachi,Cash,2001.0,11.695247021764184
Honda,Used,CNG,87611.0,Civic EXi,590000,Karachi,Cash,2000.0,13.287877815881902
Honda,Used,Hybrid,19000.0,Other,425000,Karachi,Cash,1995.0,12.959844447906553
Honda,Used,CNG,99000.0,Civic EXi,685000,Karachi,Cash,2005.0,13.437174117244362
Suzuki,Used,CNG,88000.0,Alto,465000,Karachi,Cash,2007.0,13.049792684569493
Toyota,Used,Petrol,75000.0,Corolla GLI,1190000,Karachi,Cash,2010.0,13.989463865087712
Other Brands,Used,Petrol,124000.0,Other,850000,Karachi,Cash,2010.0,13.652991628466498
Suzuki,Used,CNG,76000.0,Cultus VXR,370000,Karachi,Cash,2002.0,12.821258284620408
Nissan,New,Petrol,47000.0,Dayz Highway Star,1175000,Karachi,Cash,2013.0,13.976778705560397
Toyota,New,Petrol,43000.0,Corolla XLI,1675000,Karachi,Cash,2015.0,14.331323723241304
Suzuki,Used,CNG,3875.0,Mehran VX,195000,Karachi,Cash,1999.0,12.180754837545884
Suzuki,Used,CNG,98000.0,Mehran VX,165000,Karachi,Cash,1991.0,12.013700752882718
Suzuki,Used,Petrol,1000.0,Alto,420000,Karachi,Cash,2006.0,12.948009990259552
Toyota,Used,Petrol,39000.0,Vitz,1430000,Karachi,Cash,2014.0,14.17318500223609
Suzuki,Used,CNG,127000.0,Mehran VXR,150000,Karachi,Cash,1991.0,11.918390573078392
Suzuki,Used,LPG,786.0,Carry,130000,Karachi,Cash,1982.0,11.77528972943772
Suzuki,Used,CNG,70.0,Cultus VXR,415000,Karachi,Cash,2004.0,12.936033799212835
Suzuki,Used,CNG,99999.0,Mehran VX,185000,Karachi,Cash,1997.0,12.128111104060462
Toyota,Used,Petrol,89000.0,Passo,1040000,Karachi,Cash,2010.0,13.854731271117556
Suzuki,Used,CNG,1.0,Cultus VX,400000,Karachi,Cash,2002.0,12.89921982609012
Suzuki,Used,Petrol,100000.0,Cultus VXR,360000,Karachi,Cash,2001.0,12.793859310432293
Toyota,New,Petrol,69000.0,Vitz,1150000,Karachi,Cash,2003.0,13.955272500339433
Suzuki,New,CNG,65000.0,Mehran VX,265000,Karachi,Cash,2005.0,12.487485104968359
Suzuki,New,CNG,73000.0,Mehran VXR,435000,Karachi,Cash,2009.0,12.983101310070822
Toyota,Used,Petrol,163000.0,Corolla GLI,1220000,Karachi,Cash,2009.0,14.01436141670944
Suzuki,Used,CNG,56.0,Cultus VXR,780000,Karachi,Cash,2011.0,13.567049198665774
Suzuki,Used,CNG,10000.0,Bolan,250000,Karachi,Cash,1987.0,12.429216196844383
Toyota,Used,Petrol,190.0,Corrolla Altis,875000,Karachi,Cash,2004.0,13.681979165339751
Toyota,Used,CNG,65000.0,Corolla XLI,1260000,Karachi,Cash,2013.0,14.04662227892766
Suzuki,Used,Petrol,65000.0,Cultus VXR,840000,Karachi,Cash,2013.0,13.641157170819497
Suzuki,Used,CNG,174000.0,Alto,350000,Karachi,Cash,2004.0,12.765688433465597
Suzuki,Used,Petrol,5458.0,Baleno,380000,Karachi,Cash,2001.0,12.84792653170257
Suzuki,Used,Petrol,90000.0,Alto,340000,Karachi,Cash,2007.0,12.736700896592344
Daihatsu,Used,Petrol,88000.0,Mira,1050000,Karachi,Cash,2013.0,13.864300722133706
Toyota,Used,CNG,200000.0,Vitz,730000,Karachi,Cash,2006.0,13.500799813124575
Suzuki,Used,CNG,28800.0,Mehran VXR,195000,Karachi,Cash,1995.0,12.180754837545884
Honda,New,Petrol,95000.0,Civic VTi Oriel Prosmatec,1070000,Karachi,Cash,2007.0,13.883169206438088
Daihatsu,Used,CNG,71000.0,Cuore,410000,Karachi,Cash,2001.0,12.92391243868049
Daihatsu,Used,CNG,100.0,Charade,155000,Karachi,Cash,1984.0,11.951180395901384
Suzuki,Used,CNG,1.0,Margalla,320000,Karachi,Cash,1994.0,12.676076274775909
Toyota,Used,Diesel,134000.0,Corolla 2.0 D,1080000,Karachi,Cash,2010.0,13.892471599100402
Suzuki,Used,CNG,1.0,Bolan,290000,Karachi,Cash,1993.0,12.577636201962656
